Range (in INR),No. of Returns,Sum of Gross Total Income (In Crore INR),Average Gross Total Income (In Lakh INR),Percenatge in Income Range,Income Up Boundary,CDF,Cum_Returns
= 0,170767.0,0.0,0.0,0.3090234030210812,0.0,0.3090234030210812,170767.0
">0 and <=1,50,000",2378193.0,0.82,0.82,4.303625957596691,150000.0,4.612649360617772,2548960.0
">1,50,000 and <= 2,00,000",1376970.0,1.77,1.77,2.491792648801807,200000.0,7.1044420094195795,3925930.0
">2,00,000 and <= 2,50,000",3787092.0,2.34,2.34,6.853197967955825,250000.0,13.957639977375404,7713022.0
">2,50,000 and <= 3,50,000",14275685.0,3.05,3.05,25.83356713625585,350000.0,39.79120711363126,21988707.0
">3,50,000 and <= 4,00,000",5025936.0,3.73,3.73,9.095035024835951,400000.0,48.88624213846721,27014643.0
">4,00,000 and <= 4,50,000",4156142.0,4.25,4.25,7.52103828186267,450000.0,56.40728042032988,31170785.0
">4,50,000 and <= 5,00,000",3783374.0,4.75,4.75,6.846469800262815,500000.0,63.2537502205927,34954159.0
">5,00,000 and <= 5,50,000",2999708.0,5.23,5.23,5.428332020996805,550000.0,68.68208224158951,37953867.0
">5,50,000 and <= 9,50,000",11153567.0,7.06,7.06,20.183719513510407,950000.0,88.86580175509992,49107434.0
">9,50,000 and <= 10,00,000",600970.0,9.75,9.75,1.087527417554792,1000000.0,89.95332917265472,49708404.0
">10,00,000 and <=15,00,000",3001781.0,11.96,11.96,5.43208336355399,1500000.0,95.3854125362087,52710185.0
">15,00,000 and <= 20,00,000",998299.0,17.17,17.17,1.806541979495701,2000000.0,97.19195451570441,53708484.0
">20,00,000 and <= 25,00,000",508642.0,22.24,22.24,0.920448808958691,2500000.0,98.1124033246631,54217126.0
">25,00,000 and <= 50,00,000",736059.0,33.66,33.66,1.331987193101091,5000000.0,99.44439051776419,54953185.0
">50,00,000 and <= 1,00,00,000",209345.0,67.69,67.69,0.37883492891160614,10000000.0,99.82322544667579,55162530.0
">1,00,00,000 and <=5,00,00,000",89793.0,179.46,179.46,0.16249122153268455,50000000.0,99.98571666820848,55252323.0
">5,00,00,000 and <=10,00,00,000",5132.0,678.38,678.38,0.009286970575721238,100000000.0,99.9950036387842,55257455.0
">10,00,00,000 and <=25,00,00,000",2089.0,1486.15,1486.15,0.0037802964794781116,250000000.0,99.99878393526367,55259544.0
">25,00,00,000 and <=50,00,00,000",451.0,3431.07,3431.07,0.0008161386846551595,500000000.0,99.99960007394833,55259995.0
">50,00,00,000 and <=100,00,00,000",147.0,6754.4,6754.4,0.00026601416107385463,1000000000.0,99.9998660881094,55260142.0
">100,00,00,000 and <=500,00,00,000",74.0,17743.08,17743.08,0.0001339118906086071,5000000000.0,100.00000000000001,55260216.0
